professionName,professionEnglishName,agricultureOrForestryRelated,manualLabor,education,SESgroup1989,occupationCategory,socialClassRank
komisario,inspector,0,0,,4,8,3
nimismies,rural police chief,0,0,,3,8,2
professori,professor,0,0,1,3,0,1
kaivertaja,engraver,0,0,,4,6,3
kirjastonhoitaja,librarian,0,0,1,3,0,3
puhelinmyyjä,telephone salesperson,0,0,,4,2,5
ruiskumaalari,spray painter,0,0,,5,6,7
sosiaalikasvattaja,Social educator,0,0,1,3,0,3
valssaaja,metal worker (forms metal),,,0,5,6,6
arkistonhoitaja,archivist,0,0,,3,0,3
ekspeditööri,"expeditor, works at post office",0,0,0,4,1,5
höylääjä,"wood planing, carving",,,0,,7,3
käsityöntekijä,manual worker,0,1,0,5,6,7
liikk.harj,"abbreviation of liikkeenharjoittaja (can be merged with occupation below), entrepreneur",0,0,,2,1,2
maanviljelijän tytär,the daughter of a farmer,1,,,,3,
maanviljelkirvesmies,carpenter for farms,1,1,0,5,3,6
pääkirjanpitäjä,Chief Accountant,0,0,1,3,1,2
pelastusarmeijan upseeri,Salvation Army officer,,0,,,0,4
sahanhoitaja,maintenance for saw at sawmill,0,0,0,5,4,5
toimitussihteeri,subeditor ??,0,0,,,0,2
tullaaja,customs worker (calculates money owed when importing goods),0,0,1,3,1,2
vaatetustyöntekijä,clothing worker,0,0,,5,6,7
varastotyöläinen,warehouse worker,0,1,,5,5,7
fil.kand,BSc!,,0,1,2,0,3
fil.maist,M.Sc,,0,1,,0,2
kansakoulun opettaja,elementary school teacher,0,0,1,3,0,3
ostoasiamies,purchasing agent,0,0,1,3,2,3
autoasentaja,auto mechanic,0,1,0,5,6,5
hienomekaanikko,"Makes, services and repairs mechanical and electronic equipment for measuring things",0,1,0,5,6,5
kappaompelija,window shade seamstress,0,0,0,5,6,7
maanvijelijä,farmer,1,1,0,1,3,4
talouspäällikkö,Finance Manager,0,,1,,1,2
ylösottaja,"Record keeper: worked in harbours as people (mostly women) who recorded amounts of wood in shipments, Done by memory, required good concentration.",0,0,,3,6,3
autosähköasentaja,auto electrician,0,,,,6,4
laitosemäntä,Department hostess,0,0,,,8,5
ostomies,Purchaser,0,0,,3,2,3
palvelija,servant,,,0,,8,7
aputyöläinen,Helper,,,0,,6,7
eläkel,pensioner (short for eläkeläinen),,,,7,,4
johtajaopettaja,Head teacher,0,0,1,,0,2
junailija,conductor on train,0,0,0,4,5,5
kertaaja,multipliers,0,,,,6,
kioskinhoitaja,the kiosk attendant,0,0,0,,2,7
konehoitaja,machine attendant,0,,0,,6,6
konepäällikkö,chief engineer,0,0,1,,6,2
konepajatyöläinen,shop worker,0,0,0,,6,5
lääketieteen lisensiaatti,Licentiate of medicine,0,0,1,,0,2
leskiemäntä,female widower,0,,0,,,
mittarinlukija,the meter reader,0,0,0,,6,4
optikko,optician,0,0,1,,0,2
paistaja,The baker,0,0,0,,6,5
palokersantti,fire Sergeant,0,0,0,,8,4
porttivahti,gate watchman,0,0,0,4,8,7
postiaseman hoitaja,postal station attendant,0,0,0,,1,5
postiautonkuljettaja,mail chauffeur,0,0,0,,5,5
ruokalanpitäjä,canteen operator,0,0,0,,8,4
teollisuusvartija,industrial security guard,0,0,0,,8,5
teollisuusvirkailija,industrial clerk,0,0,0,,1,5
tikkaaja,"appears to be like seamstress, in textile industry",0,1,0,5,6,6
uuttaaja,Extractor (uses chemical process to extract something from something else),0,1,,5,4,5
yliasentaja,"installer (in charge of others, hence 'yli'",0,0,,3,6,3
eläinlääkäri,veterinarian,,0,1,,0,1
konttorinjohtaja,Branch Director,0,0,,,1,2
proviisori,pharmacist,0,0,1,,0,2
ravintoloitsija,restaurateur,0,0,,,2,3
kansak.opettaja,elementary school teacher,0,0,1,3,0,3
kokooja,collector,0,0,,,6,3
konetarkastaja,machinery inspector,0,0,,,6,3
